ID;Tipo Defeito;Status;Squad;Nome;Sistema;Comunidade;Alvo;Criticidade;Criado Por;Data Criacao Item Backlog;Data Resolucao Item Backlog;Qtd
23059002;Defeito;Aceito;PS014 - Benefício INSS SIABE;Rotina de Geração de Saldo de Resíduos (Feriados);SIABE;Programas Sociais;Sem Atuação da GEQTI;Q4;Petronio Oliveira Cavalcante;45769;;1
23058985;Defeito;Aceito;CD040 - Colegiados;DEFEITO - SIATD - DOWNLOAD DOCUMENTOS REUNIÃO - PERFIL MEMBRO;SIATD;Clientes;Sem Atuação da GEQTI;Q3;Jonathan Barroso Felix;45769;;1
23058961;Defeito;Em Desenvolvimento;SI002 - Corretora XS;SIGTS - Erro relatório Fee de Premiação;SIGTS;Seguridade;Sem Atuação da GEQTI;Q1;Andressa Carolina Moccelini;45769;;1
23058698;Defeito;Pronto;DC012 - Sustentação NSGD BR;SID52 - Abend no TQS D52SCSEM – PGM: D52PBS14;SID52;Depósitos e Captação;Sem Atuação da GEQTI;Q3;Ailton Antonio de Araujo;45769;;1
23058660;Defeito;Aceito;OF001 - SIBSA - Pagamentos Sustentação;SIBSA - [AUTOMATIC PAYMENTS v2][SWEEPING ACCOUNTS v2] - Correção Variável de Ambiente Agendamento;SIBSA;Box Open Finance;Sem Atuação da GEQTI;Q2;Jorge Leandro da Silva Pereira;45769;;1
23058648;Defeito;Preparado;FP051 - SIEFI-e-financeira;SIEFI - E-Financeira - Certificado da Receita Federal vencido;SIEFI;Financeiro e Controladoria;Sem Atuação da GEQTI;Q2;Raphael da Silva Oliveira;45769;;1
23058593;Defeito;Aceito;CD009 - Cadastro Positivo;SICPC - Complemento da demanda de  ERRO 128 DATA DE CONTRATAÇAO INVALIDA;SICPC;Clientes;Sem Atuação da GEQTI;Q1;Felipe Ferreira Garcia;45769;;1
23058540;Defeito;Em Refinamento;BR042 - Internet Banking Sustentação;SINBC - INVESTIMENTO - ajustar link do ícone perfil do investidor para direcionar ao questionário - desktop;SINBC;Box Relacionamento Digital;Certificação;Q2;Anelize da Silva Moraes de Queiroz;45769;;1
23058524;Defeito;Em Refinamento;AI003 - Cobrança;CEMPF - COMUNIDADE SIACI MANUTENCAO / DEFEITO 878770831598 consolidação;SIACI;Administração do Crédito Imobiliário;Sem Atuação da GEQTI;Q3;Marcio Andre Galindo;45769;;1
23058432;Defeito;Preparado;CA017 - Auto Atendimento 1;SIMTC - Notificação INSS sem token;SIMTC;Canais Físicos;Sem Atuação da GEQTI;Q4;Maycon Jefferson Mascelloni;45769;;1
23058428;Defeito;Em Refinamento;LT002 - Canal Lotérico - Sustentação;SISPL - DEF - NSU duplicado;SISPL;Loterias e Canais Parceiros;Sem Atuação da GEQTI;Q4;Lucas de Resende Freitas Tobias;45769;;1
23058413;Defeito;Pronto;CD041 - Corregedoria;Erro na Função Gratificada do Assinante - ANAPRE;SIDIS;Clientes;Sem Atuação da GEQTI;Q1;Fabricio Alves da Silva;45769;;1
23058388;Defeito;Implantado;DC012 - Sustentação NSGD BR;D52 - A rotina de extrato open banking não está inclusa na rotina de REBIND;SID52;Depósitos e Captação;Sem Atuação da GEQTI;Q3;Ailton Antonio de Araujo;45769;45772;1
23058334;Defeito;Implantado;FD010 - SIAVO - Controle Proj e desembolsos do FGTS;SIAVO - GEAVO - Inconsistência na linha do tempo da operação - Erro em PRD;SIAVO;Fomento e Depósitos Judiciais;Testes Funcionais;Q1;Tatiane Lopes de Souza Rebelo;45769;45771;1
23058305;Defeito;Em Refinamento;MP008 - EMISSÃO CARTÃO DE DÉBITO E PERSONALIZAÇÃO DE CHIP;SIB24 - IB 23058305 - DEFEITO - Ausência de apropriação do valor de tarifa recebido do BNB em fevereiro e março de 2025;SIB24;Meios de Pagamento;Sem Atuação da GEQTI;Q2;Izabela Moreira Spindola O Carvalho;45769;;1
23058277;Defeito;Aceito;CL001 - Compras;Excluir do sistema  processamento da DIRF 2025 em processamento;SICVE;Contratações e Logística;Sem Atuação da GEQTI;Q1;Joana Darc Soares de Morais Rodrigues;45769;;1
