ID;Tipo Defeito;Status;Squad;Nome;Sistema;Comunidade;Alvo;Criticidade;Criado Por;Data Criacao Item Backlog;Data Resolucao Item Backlog;Qtd
22706602;Defeito;Implantado;BF005 - Nato-Digital e OpenHab;"Falhando o Caso de Teste ""CT120.001_UC_2165_Nenhum registro encontrado ao Consultar Documento da Proposta Online para Canal Parceiro""";SIOPI;Box Moradia PF;Certificação;Q3;Adriano dos Santos Lima;05/02/2025;18/02/2025;1
22706610;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo Android - Versão 1.17.0 - Minhas apostas filtro ""Selecione o mês e o ano"" está desalinhado a direita";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;05/02/2025;07/02/2025;1
22706660;Teste Funcional;Implantado;BF005 - Nato-Digital e OpenHab;"Falhando o Caso de Teste ""CT112.001_UC_2165_Consulta documento informando Tipo de Associação igual a Pessoa na Proposta Online para Canal Parceiro com sucesso""";SIOPI;Box Moradia PF;Certificação;Q3;Adriano dos Santos Lima;05/02/2025;18/02/2025;1
22706736;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);Defeito - SIMLO - Regressivo Android - Versão 1.17.0 - Filtro de apostas, está apresentando a fonte escolhida no celular e não a fonte Caixa;SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;05/02/2025;17/02/2025;1
22706843;Teste de Regressão;Implantado;CR010 - SISGH Gestão de Honras;[GEQTI] Defeito - Ao clicar em autorizar contratos com honras recuperadas do FGI o sistema está apresentando erro.;SISGH;Crédito Comercial e Agronegócio;Certificação;Q3;Jose Rudson Barbosa Vieira;05/02/2025;06/02/2025;1
22707092;Teste de Regressão;Implantado;CR010 - SISGH Gestão de Honras;[GEQTI] Defeito - Ao entrar na tela de Honras recuperadas junto ao cliente e clicar no número do contrato o sistema está apresentando erro.;SISGH;Crédito Comercial e Agronegócio;Certificação;Q3;Jose Rudson Barbosa Vieira;05/02/2025;21/02/2025;1
22708779;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo iOS - Versão 1.17.0 - Filtros lista ""Minhas compras"" ao detalhar os filtros o texto está em bold";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;06/02/2025;07/02/2025;1
22708789;Teste Funcional;Implantado;BF006 - GOVERNANCA - SIOPI;"Falhando o Caso de Teste ""CT010.001_UC_2463_Desvincular Participante da Venda de Imóvel com papel do participante não permitido""";SIOPI;Box Moradia PF;Certificação;Q3;Rahmey Cesar Palhares Martins;06/02/2025;21/02/2025;1
22708855;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);Defeito - SIMLO - Regressivo iOS - versão 1.17.0 - Título filtro Minhas compras está incorreto;SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;06/02/2025;07/02/2025;1
22709201;Teste Funcional;Aceito;BF006 - GOVERNANCA - SIOPI;"Falhando o Caso de Teste ""CT051.001_UC_325_Valida proposta individual no SIACI com exigência do CER/APF e parametrização de enquadramento de recursos para à proposta não existente""";SIOPI;Box Moradia PF;Certificação;Q3;Samuel Estevao de Farias Alves;06/02/2025;;1
22710105;Teste Funcional;Em Desenvolvimento;PS012 - SIPBS - Processos Online;[Aceite - Cod. - Solicitar Abertua de Conta_Solicitacao Rejeitada] - Abend da rotina;SIPBS;Programas Sociais;Certificação;Q3;Giselle Barbosa da Silva;06/02/2025;;1
22710245;Teste de Regressão;Implantado;CR010 - SISGH Gestão de Honras;[GEQTI] Defeito - Ao acessar o ambiente de TQS OKD3 o sistema está apresentando ERRO.;SISGH;Crédito Comercial e Agronegócio;Certificação;Q3;Jose Rudson Barbosa Vieira;06/02/2025;06/02/2025;1
22710540;Teste Funcional;Implantado;BF005 - Nato-Digital e OpenHab;"Falhando o Caso de Teste ""CT191.001_UC_2149_Usuario sem permissão de acesso para Vincular simulação em proposta operação imobiliária na internet para canal parceiro""";SIOPI;Box Moradia PF;Certificação;Q3;Gabriel Santos Brandao;06/02/2025;10/02/2025;1
22710629;Teste Funcional;Novo;FG036 - DPVAT Backoffice;"Falhando o Caso de Teste ""CT_CERTIF_Solicitar_Invalidez_Permanente_S11T (Relatório_Tratamento_Médico_Beneficiário)""";SISDC;Fundos de Governo;Certificação;Q1;Elenice da Silva Vicente;06/02/2025;;1
22710925;Teste Funcional;Implantado;LT010 - Loterias Canais Eletrônicos (site);Defeito - Mensagem de tentativa de resgate de teimosinha não está aparecendo;SILCE;Loterias e Canais Parceiros;Certificação;Q4;Fabricia da Silva;06/02/2025;12/02/2025;1
22710969;Teste Funcional;Implementado;LT010 - Loterias Canais Eletrônicos (site);Defeito Nova API consulta de apostas. Modalidade Dia de Sorte. não exibe mês de sorte na lista de apostas;SILCE;Loterias e Canais Parceiros;Certificação;Q4;Eduardo Camilo da Silva;06/02/2025;;1
22712292;Teste Funcional;Implantado;CR010 - SISGH Gestão de Honras;[GEQTI] Defeito - Calculo realizado pelo FAMPE incorreto;SISGH;Crédito Comercial e Agronegócio;Certificação;Q3;Diovany Pereira de Moura;07/02/2025;26/03/2025;1
22713078;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo Android - Versão 1.17.0 - Simular aposta Loteca apresentando o campo ""Sorteio"" está incorreto";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;07/02/2025;07/02/2025;1
22713868;Defeito;Novo;BF005 - Nato-Digital e OpenHab;Defeito de envio de mensagem negocial (MN477) para os logs do SIOPI Batch;SIOPI;Box Moradia PF;Certificação;Q3;Caio Alexandre Ornelas Silva;07/02/2025;;1
22714610;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo Android - Versão 1.17.0 - Carrinho de apostas somente com ""Combo de apostas"" ou ""Bolão"" não apresenta a barra azul com valor, ""Valor total do carrinho"" e ""ícone do carrinho""";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;07/02/2025;21/02/2025;1
22714776;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);Defeito - SIMLO - Regressivo iOS - versão 1.17.0 - Carrossel de apostas individuais, não está apresentando em algumas modalidades a funcionalidade de último resultado;SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;07/02/2025;20/02/2025;1
22718854;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);Defeito - SIMLO - Regressivo Android- Versão 1.17.0 - Minhas Aposta - Situação das apostas não está trazendo os status;SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Wallace Rodrigues de Oliveira;10/02/2025;21/02/2025;1
22719861;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo Android- Versão 1.17.0 - Carrinho de apostas apostas de ""Bolão"", modalidade ""+milionária"" está quebrando linha";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;10/02/2025;19/02/2025;1
22720748;Defeito;Novo;;"Falhando o Caso de Teste ""CT_DEV_Erro ao tentar emitir OS recorrente_DES_1""";SIGDU;Box Moradia Plataforma;Certificação;Q3;Takashi Saito;10/02/2025;;1
22720770;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);Defeito - SIMLO - Regressivo Android- Versão 1.17.0 - Apostas favoritas pou-up de quantidade de teimosinhas estão na fonte incorreta;SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;10/02/2025;19/02/2025;1
22721143;Defeito;Novo;;"Falhando o Caso de Teste ""CT_DEV_Alteração dos valores de contestação que estão zerados_DES_1""";SIGDU;Box Moradia Plataforma;Certificação;Q3;Takashi Saito;10/02/2025;;1
22721188;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);Defeito - SIMLO - Regressivo Android- Versão 1.17.0 - Filtro de apostas, as cores não estão no novo padrão da paleta de cores;SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;10/02/2025;18/02/2025;1
22721876;Teste Funcional;Novo;CR010 - SISGH Gestão de Honras;[GEQTI] Defeito - Regularizar Honras - Desenrola;SISGH;Crédito Comercial e Agronegócio;Certificação;Q3;Diovany Pereira de Moura;10/02/2025;;1
22721957;Teste de Regressão;Implementado;ES003 - Gestão de Limites;"Falhando o Caso de Teste ""CTM_CERTIF_TED_SIMOB_Envio de Transação dentro do limite TP1 ou TP4""";SIGLM;Estruturantes de TI;Certificação;Q2;Edna Franca Tito;10/02/2025;;1
22725755;Teste Funcional;Aceito;BF006 - GOVERNANCA - SIOPI;"Falhando o Caso de Teste ""CT005.089_UC_047_Complementa dados da proposta vinculada que não existe CER/APF""";SIOPI;Box Moradia PF;Certificação;Q3;Samuel Estevao de Farias Alves;11/02/2025;;1
22726244;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo iOS - versão 1.17.0 -  Detalhe de aposta tela de ""Resgate"" modalidade ""Dia de sorte"", com a situação premiada está com as cores invertidas";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;11/02/2025;21/02/2025;1
22726309;Teste de Regressão;Pronto;FG015 - Obrigações Financeiras;"Falhando o Caso de Teste ""CT_CERTIF_Agente Moradia - Alterar Autorização para Agente Moradia"" ao executar o Registro de Execução de Teste ""CT_CERTIF_Agente Moradia - Alterar Autorização para Agente Moradia_Ambiente_de_Teste_Windows 10 Enterprise_Chr";SIOFG;Fundos de Governo;Certificação;Q1;Elenice da Silva Vicente;11/02/2025;;1
22726438;Teste Funcional;Implantado;CR010 - SISGH Gestão de Honras;[GEQTI] Defeito - Importação Arquivo FGI-PEAC;SISGH;Crédito Comercial e Agronegócio;Certificação;Q3;Diovany Pereira de Moura;11/02/2025;20/03/2025;1
22727545;Teste Funcional;Implantado;BF036 - Emprestimo com Garantia Imobiliaria  - SIOPI;"Falhando o Caso de Teste ""CT105.001_UC_473_Consulta Dados da Liquidação de Contrato no SIBKO com sucesso.""";SIOPI;Box Moradia PF;Certificação;Q3;Marilia Santos Tavares Almeida;12/02/2025;12/02/2025;1
22728013;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo android- versão 1.17.0 - Detalhe de aposta modalidade ""Dupla sena"", não está no padrão das cores do MKP";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;12/02/2025;05/03/2025;1
22728033;Teste Funcional;Implantado;CR010 - SISGH Gestão de Honras;[GEQTI] Defeito - Remessas não são geradas pelo FAMPE;SISGH;Crédito Comercial e Agronegócio;Certificação;Q3;Diovany Pereira de Moura;12/02/2025;20/03/2025;1
22728259;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo android- versão 1.17.0 - Detalhe de aposta modalidade ""Loteca"", não está no padrão das cores do MKP";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;12/02/2025;07/03/2025;1
22728481;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo android- versão 1.17.0 - Detalhe de aposta modalidade ""lotofácil"", não está no padrão das cores do MKP";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;12/02/2025;05/03/2025;1
22729410;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo android- versão 1.17.0 - Detalhe de aposta modalidade ""+milionária"", não está no padrão das cores do MKP";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;12/02/2025;05/03/2025;1
22729530;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo android- versão 1.17.0 - Detalhe de aposta modalidade ""mega-sena"", não está no padrão das cores do MKP";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;12/02/2025;05/03/2025;1
22729616;Teste de Regressão;Implantado;LT001 - Loterias Canais Digitais (Mobile);"Defeito - SIMLO - Regressivo android- versão 1.17.0 - Detalhe de aposta modalidade ""quina"", não está no padrão das cores do MKP";SIMLO;Loterias e Canais Parceiros;Certificação;Q4;Johnathan Lemes Ferreira;12/02/2025;05/03/2025;1
